Ident,Type,Name,Elevation_ft,Continent,Iso_country,Iso_region,Municipality,Gps_code,Local_code,Coordinates
RU-0329,small_airport,Khorol Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-PRI,Khorol,RU-0329,RU-0329,"132.124, 44.449"
RU-0330,small_airport,Mys Nizmenny Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-CHU,Ugolnye Kopi,RU-0330,RU-0330,"177.584424019, 64.8014732872"
RU-0331,small_airport,Khvalynka Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-PRI,Spassk-Dalniy,RU-0331,RU-0331,"132.887, 44.611"
RU-0332,small_airport,Novonezhino Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-PRI,Novonezhino,RU-0332,RU-0332,"132.584, 43.218"
RU-0333,small_airport,Novorossiya Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-PRI,Smolyaninovo,RU-0333,RU-0333,"132.557, 43.347"
RU-0334,closed,Kansk Tsentralny Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KYA,Kansk,RU-0334,RU-0334,"95.7121181488, 56.1600347141"
RU-0335,small_airport,Lesnoy Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ALT,Barnaul,RU-0335,RU-0335,"83.9549446106, 53.251722177599994"
RU-0336,small_airport,Charyshskoye Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ALT,Charyshskoye,RU-0336,RU-0336,"83.52853775019999, 51.40193656820001"
RU-0337,small_airport,Ubinskoye Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-NVS,Ubinskoye,RU-0337,RU-0337,"79.6666, 55.3166"
RU-0338,small_airport,Yurt-Ora Airstrip,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-NVS,Yurt-Ora,RU-0338,RU-0338,"82.91646838190002, 55.4501751626"
RU-0341,small_airport,Kemerovo Severny Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KEM,Kemerovo,RU-0341,RU-0341,"86.04554414750001, 55.332720733399995"
RU-0342,small_airport,Yuzhnaya Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-NVS,Berdsk,RU-0342,RU-0342,"83.07869911190001, 54.654718956"
RU-0343,small_airport,Iskitim Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-NGR,Iskitim,RU-0343,RU-0343,"83.3, 54.6"
RU-0344,heliport,Sibirskiy Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ALT,Sibirskiy,RU-0344,RU-0344,"83.8623762131, 53.5858308029"
RU-0345,small_airport,Nazarovo Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KYA,Nazarovo,RU-0345,RU-0345,"90.49017906190001, 55.972549445300004"
RU-0346,small_airport,Uzhur Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KYA,Uzhur,RU-0346,RU-0346,"89.8256778717, 55.2637616897"
RU-0347,small_airport,Maryanovka Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-OMS,Maryanovka,RU-0347,RU-0347,"72.64649391169999, 54.9725397836"
RU-0348,small_airport,Krasnoozyorsk Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-NVS,Krasnoozyorskoye,RU-0348,RU-0348,"79.3133926392, 53.992785208"
RU-0349,heliport,Shadrinsk Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KGN,Shadrinsk,RU-0349,RU-0349,"63.7331163883, 56.0982493243"
RU-0350,heliport,Abzakovo Helipad,1067.0,EU,RU,RU-BA,Abzakovo,RU-0350,RU-0350,"58.633282, 53.801284"
RU-0351,heliport,Gora Pashina Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-CHE,Chebarkul,RU-0351,RU-0351,"60.563, 55.1261"
RU-0353,heliport,Bunkovo Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Istra,RU-0353,RU-0353,"36.8073749542, 55.8802339278"
RU-0355,heliport,Nakhabino Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Nakhabino,RU-0355,RU-0355,"37.2091752291, 55.8580088604"
RU-0356,heliport,Mitino Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Putilkovo,RU-0356,RU-0356,"37.3729348183, 55.8685631393"
RU-0357,heliport,City Clinical Hospital No.36 Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOW,Moscow,RU-0357,RU-0357,"37.7401989698, 55.7913297014"
RU-0358,heliport,Grachi Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Ilinskoye,RU-0358,RU-0358,"38.0714249611, 55.4382719556"
RU-0359,small_airport,Voskresensk Airstrip,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Voskresensk,RU-0359,RU-0359,"38.5956573486, 55.307215581099996"
RU-0361,small_airport,Burny Airfield,45.0,EU,RU,RU-LEN,Solovyovo,RU-0361,RU-0361,"30.474349, 60.61188"
RU-0362,small_airport,Bolshoy Lutsk Airstrip,39.0,EU,RU,RU-LEN,Kingisepp,RU-0362,RU-0362,"28.577284812900004, 59.4120340638"
RU-0364,small_airport,Suzdal Airport,350.0,EU,RU,RU-VLA,Suzdal,RU-0364,RU-0364,"40.380292, 56.492614"
RU-0365,small_airport,Novinki Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Novinki,RU-0365,RU-0365,"37.6566696167, 54.9776629286"
RU-0366,heliport,Polyany Helipad,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-MOS,Kolomna,RU-0366,RU-0366,"38.821520805400006, 55.034663031899996"
RU-0367,small_airport,Beloomut Airfield,323.0,EU,RU,RU-MOS,Beloomut,RU-0367,RU-0367,"39.296583, 54.9521"
RU-0368,small_airport,Seltsy Airfield,362.0,EU,RU,RU-RYA,Seltsy,RU-0368,RU-0368,"39.6392, 54.9237"
RU-0369,seaplane_base,Gelendzhik Seaplane Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-KDA,Gelendzhik,RU-0369,RU-0369,"38.038611, 44.57"
RU-0370,small_airport,Kochubeyevskoye Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-STA,Kochubeyevskoye,RU-0370,RU-0370,"41.7493772507, 44.6858639994"
RU-0371,closed,Tatsinskaya Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ROS,Tatsinskaya,RU-0371,RU-0371,"41.277866, 48.167059"
RU-0372,medium_airport,Rostov-na-Donu Tsentralny Air Base,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ROS,Rostov-na-Donu,RU-0372,RU-0372,"39.6377, 47.2763"
RU-0373,heliport,Rostov-na-Donu Severny Heliport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-ROS,Rostov-na-Donu,RU-0373,RU-0373,"39.7347164154, 47.256631026"
RU-0374,closed,Svetlograd Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-STA,Svetlograd,RU-0374,RU-0374,"42.680854797399995, 45.423335150499994"
RU-0375,small_airport,Monino Airfield,499.0,EU,RU,RU-MOS,Moscow,RU-0375,RU-0375,"38.16999816894531, 55.836700439453125"
RU-0376,small_airport,Kalininskiy Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-STA,Budyonnovsk,RU-0376,RU-0376,"44.1829, 44.8582"
RU-0377,small_airport,Makhachkala-1 Airfield,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-DA,Makhachkala,RU-0377,RU-0377,"47.4357461929, 43.0126495066"
RU-0378,small_airport,Khunzakh Airport,<function <lambda> at 0x000001CF3D55D6C0>,EU,RU,RU-DA,Khunzakh,RU-0378,RU-0378,"46.7290592194, 42.570338947799996"
RU-0379,heliport,Tlyarata Helipad,4921.0,EU,RU,RU-DA,Tlyarata,RU-0379,RU-0379,"46.3519728184, 42.1167563323"
RU-0380,medium_airport,Akhtubinsk Air Base,50.0,EU,RU,RU-AST,Akhtubinsk,RU-0380,RU-0380,"46.2365, 48.3085"
RU-0381,small_airport,Osypnoy Bugor Airfield,-72.0,EU,RU,RU-AST,Astrakhan,RU-0381,RU-0381,"48.061172962200004, 46.2871581029"
RU-0382,small_airport,Tri Protoka Airfield,-72.0,EU,RU,RU-AST,Astrakhan,RU-0382,RU-0382,"48.153, 46.325"
